t,price_raw,price_reg,reg_term,energy,time,lamE,lamT,E_eff,T_eff,energy_prev,time_prev,E_eff_prev,T_eff_prev,residE_prev,residT_prev,residE,residT,violE,violT,csE,csT,dx1
25,4.908541977804599,4.9085428652856224,8.874810235565046e-07,12.011903980498642,4.488595296196562,0.6061950897361918,0.5099859166742833,10.909292634604288,3.764978875011425,12.080664886520939,4.4922439780767975,10.87306462681305,3.7424861398650733,1.2076002597078883,0.7497578382117243,1.1026113458943545,0.7236164211851368,1.1026113458943545,0.7236164211851368,0.6683975837685715,0.36903418387866627,0.057502533844312344
26,4.9385648013846755,4.938565684072221,8.826875456943187e-07,11.932710392334904,4.484034614773892,0.628247316654079,0.524458245097986,10.942370974981118,3.786687367646979,12.011903980498642,4.488595296196562,10.909292634604288,3.764978875011425,1.1026113458943545,0.7236164211851368,0.9903394173537858,0.6973472471269124,0.9903394173537858,0.6973472471269124,0.6221780815292799,0.36572951345209204,0.06265496046910851
27,4.972993486624129,4.972994364042718,8.774185883014199e-07,11.843967715442796,4.478631462529572,0.6480541050011547,0.5384051900405242,10.972081157501732,3.807607785060786,11.932710392334904,4.484034614773892,10.942370974981118,3.786687367646979,0.9903394173537858,0.6973472471269124,0.871886557941064,0.6710236774687859,0.871886557941064,0.6710236774687859,0.5650296629690336,0.3612826305892731,0.06735943429191257
28,5.011398377232004,5.01139924910902,8.718770160601766e-07,11.746619826127013,4.4724597699310955,0.665491836159976,0.5518256635898999,10.998237754239964,3.8277384953848497,11.843967715442796,4.478631462529572,10.972081157501732,3.807607785060786,0.871886557941064,0.6710236774687859,0.7483820718870486,0.6447212745462458,0.7483820718870486,0.6447212745462458,0.49804215916931915,0.35577374515700816,0.07158488112551056
29,5.053326719692436,5.053327585956148,8.662637124158096e-07,11.641661729005957,4.465597189601899,0.680459477597717,0.5647200890808248,11.020689216396576,3.8470801336212372,11.746619826127013,4.4724597699310955,10.998237754239964,3.8277384953848497,0.7483820718870486,0.6447212745462458,0.6209725126093808,0.6185170559806621,0.6209725126093808,0.6185170559806621,0.422546631532721,0.349289006951409,0.07530492900776448
30,5.098306909559184,5.0983077703309565,8.607717719658763e-07,11.530130176091639,4.458124399848168,0.6928789278499046,0.577090430200438,11.039318391774856,3.865635645300657,11.641661729005957,4.465597189601899,11.020689216396576,3.8470801336212372,0.6209725126093808,0.6185170559806621,0.49081178431678296,0.5924887545475106,0.49081178431678296,0.5924887545475106,0.3400731428935112,0.34191959025074464,0.07849802434177217
31,5.145852802729148,5.145853658310372,8.555812246248943e-07,11.41309414240338,4.450124397472314,0.7026951635362402,0.5889402052913882,11.054042745304361,3.8834103079370825,11.530130176091639,4.458124399848168,11.039318391774856,3.865635645300657,0.49081178431678296,0.5924887545475106,0.35905139709901945,0.5667140895352318,0.35905139709901945,0.5667140895352318,0.252303680202411,0.3337607122324016,0.08114750549232706
32,5.195468054444808,5.195468905299243,8.508544349108447e-07,11.291645240386032,4.441681785997222,0.7098761914782206,0.6002744870820929,11.064814287217331,3.9004117306231394,11.41309414240338,4.450124397472314,11.054042745304361,3.8834103079370825,0.35905139709901945,0.5667140895352318,0.22683095316870094,0.5412700553740826,0.22683095316870094,0.5412700553740826,0.16102189314477203,0.3249106048625734,0.08324163414916445
33,5.246650449353163,5.246651296085455,8.46732291419614e-07,11.16688815412788,4.432882065330331,0.7144128105415946,0.6110998881895745,11.071619215812392,3.916649832284362,11.291645240386032,4.441681785997222,11.064814287217331,3.9004117306231394,0.22683095316870094,0.5412700553740826,0.09526893831548833,0.5162322330459688,0.09526893831548833,0.5162322330459688,0.06806134997928182,0.3154694598942459,0.08477358511198052
34,5.2988961868185305,5.298897030149801,8.433312707643737e-07,11.039931172452084,4.423810928753685,0.7163181893079044,0.6214245328504939,11.074477283961857,3.932136799275741,11.16688815412788,4.432882065330331,11.071619215812392,3.916649832284362,0.09526893831548833,0.5162322330459688,-0.034546111509772714,0.4916741294779441,0.0,0.4916741294779441,0.024746008044309344,0.3055383662255047,0.0861465996807281
35,5.351704086835385,5.351704927576813,8.407414280760968e-07,10.911876897418908,4.414553572937275,0.715627267077709,0.6312580154400528,11.073440900616564,3.9468870231600794,11.039931172452084,4.423810928753685,11.074477283961857,3.932136799275741,-0.034546111509772714,0.4916741294779441,-0.16156400319765574,0.4676665497771957,0.0,0.4676665497771957,0.1156196060664726,0.2952182581000492,0.08678335045893484
36,5.40457968329892,5.404580522324253,8.390253337023322e-07,10.7838132016582,4.405194026440888,0.7123959870137558,0.6406113464355967,11.068593980520633,3.960917019653395,10.911876897418908,4.414553572937275,11.073440900616564,3.9468870231600794,-0.16156400319765574,0.4676665497771957,-0.2847807788624337,0.44427700678749327,0.0,0.44427700678749327,0.20287668404024958,0.2846088915085128,0.08668822532461193
37,5.457039173046943,5.457040011264887,8.382179440787231e-07,10.656804504291914,4.395814501896902,0.7067003714365072,0.6494968865713465,11.06005055715476,3.9742453298570197,10.7838132016582,4.405194026440888,11.068593980520633,3.960917019653395,-0.2847807788624337,0.44427700678749327,-0.40324605286284587,0.42156917203988264,0.0,0.42156917203988264,0.2849741353384786,0.27380786471436414,0.08587699848352247
38,5.508613190975338,5.508614029302703,8.383273648836068e-07,10.531883431040114,4.386494776758251,0.6986354503792503,0.6579282700121442,11.047953175568875,3.9868924050182164,10.656804504291914,4.395814501896902,11.06005055715476,3.9742453298570197,-0.40324605286284587,0.42156917203988264,-0.5160697445287603,0.399602371740035,0.0,0.399602371740035,0.36054461839595514,0.26290969713167095,0.084371079807005
39,5.558850383610449,5.5588512229468865,8.393364374200752e-07,10.410042919487699,4.377311607144937,0.6883140554886752,0.6659203174469449,11.032471083233013,3.9988804761704175,10.531883431040114,4.386494776758251,11.047953175568875,3.9868924050182164,-0.5160697445287603,0.399602371740035,-0.6224281637453135,0.3784311309745192,0.0,0.3784311309745192,0.4284260536379059,0.2520049788703582,0.08237555010465875
40,5.607320755810299,5.607321597015355,8.412050554742985e-07,10.292228825503532,4.368338178969084,0.6758654922137689,0.6734889400664353,11.013798238320653,4.010233410099653,10.410042919487699,4.377311607144937,11.032471083233013,3.9988804761704175,-0.6224281637453135,0.3784311309745192,-0.7215694128171215,0.3581047688694303,0.0,0.3581047688694303,0.487683866360044,0.24117960121860843,0.0801736508805175
41,5.653618767681708,5.6536196115548085,8.438731002988652e-07,10.179333081350201,4.35964360008805,0.6614341039574265,0.680651035443824,10.99215115593614,4.020976553165736,10.292228825503532,4.368338178969084,11.013798238320653,4.010233410099653,-0.7215694128171215,0.3581047688694303,-0.8128180745859392,0.3386670469223132,0.0,0.3386670469223132,0.5376255948441514,0.2305140761583746,0.07751795577825715
42,5.697366161393336,5.697367008657202,8.472638663287943e-07,10.072187450405524,4.351292436836195,0.6451777424657077,0.6874243763822703,10.967766613698561,4.031136564573405,10.179333081350201,4.35964360008805,10.99215115593614,4.020976553165736,-0.8128180745859392,0.3386670469223132,-0.8955791632930374,0.32015587226278974,0.0,0.32015587226278974,0.5778077427727293,0.22008295083537002,0.07443925806636346
43,5.73821450023729,5.73821535152513,8.512878400496777e-07,9.971557917458393,4.3433442978345145,0.627266159199847,0.6938274938275261,10.940899238799771,4.040741240741289,10.072187450405524,4.351292436836195,10.967766613698561,4.031136564573405,-0.8955791632930374,0.32015587226278974,-0.9693413213413784,0.30260305709322566,0.0,0.30260305709322566,0.6080350075915111,0.20995432072754056,0.0709712327926468
44,5.775847405069937,5.775848260916627,8.558466892240374e-07,9.87813974741638,4.335853467521449,0.6078793327730194,0.6998795549693906,10.911818999159529,4.049819332454086,9.971557917458393,4.3433442978345145,10.940899238799771,4.040741240741289,-0.9693413213413784,0.30260305709322566,-1.0336792517431483,0.2860341350673634,0.0,0.2860341350673634,0.628352253850939,0.20018944315700085,0.06715009360960295
45,5.80998247610611,5.8099833369434295,8.60837319396634e-07,9.792553238997508,4.328868591386453,0.5872057477381565,0.7056002376707379,10.880808621607235,4.058400356506107,9.87813974741638,4.335853467521449,10.911818999159529,4.049819332454086,-1.0336792517431483,0.2860341350673634,-1.0882553826097272,0.27046823488034555,0.0,0.27046823488034555,0.6390298156754184,0.1908424508139568,0.06301423596195609
46,5.840372890906778,5.840373757062637,8.66155859035782e-07,9.715340193622984,4.322432414408141,0.565440640085962,0.7110096023683448,10.848160960128943,4.066514403552517,9.792553238997508,4.328868591386453,10.880808621607235,4.058400356506107,-1.0882553826097272,0.27046823488034555,-1.1328207665059598,0.2559180108556234,0.0,0.2559180108556234,0.6405428993157999,0.18196016313735452,0.05860913949027177
47,5.866808672298176,5.8668095439996195,8.717014434730205e-07,9.646961113347261,4.316581573729098,0.5427842247558428,0.7161279625854572,10.814176337133764,4.074191943878185,9.715340193622984,4.322432414408141,10.848160960128943,4.066514403552517,-1.1328207665059598,0.2559180108556234,-1.1672152237865028,0.24238962985091295,0.0,0.24238962985091295,0.6335460103661744,0.1735819917769774,0.05441839772830693
48,5.889117622836563,5.889118500216244,8.773796804970023e-07,9.587793135301602,4.311346446123955,0.5194399202801127,0.7209757551824755,10.779159880420169,4.081463632773714,9.646961113347261,4.316581573729098,10.814176337133764,4.074191943878185,-1.1672152237865028,0.24238962985091295,-1.1913667451185663,0.2298828133502413,0.0,0.2298828133502413,0.6188434471087654,0.16573993495866227,0.05004066438015051
49,5.905829092381886,5.905829973472932,8.810910462984581e-07,9.544812959134783,4.307753689971406,0.49561258537774133,0.7255734114494803,10.743418878066612,4.08836011717422,9.587793135301602,4.311346446123955,10.779159880420169,4.081463632773714,-1.1913667451185663,0.2298828133502413,-1.198605918931829,0.21939357279718585,0.0,0.21939357279718585,0.5940441783308672,0.15918614306454404,0.033485632371592536
50,5.9156697027831635,5.915670583665398,8.808822346585499e-07,9.524118703969227,4.306704566023647,0.4716404669991048,0.7299612829054241,10.707460700498658,4.094941924358136,9.544812959134783,4.307753689971406,10.743418878066612,4.08836011717422,-1.198605918931829,0.21939357279718585,-1.18334199652943,0.21176264166551118,0.0,0.21176264166551118,0.5581119718627934,0.15457852958159815,0.014471591628607644
51,5.92134527548954,5.92134615627865,8.807891101847402e-07,9.512091013303898,4.306153211940373,0.4479736270685162,0.7341965357387343,10.671960440602774,4.101294803608102,9.524118703969227,4.306704566023647,10.707460700498658,4.094941924358136,-1.18334199652943,0.21176264166551118,-1.1598694272988759,0.20485840833227087,0.0,0.20485840833227087,0.5195909142729601,0.15040633371450435,0.008469394808675632
52,5.922907115214157,5.9229079960078135,8.807936564560123e-07,9.508621875722541,4.306094422494059,0.42477623852253865,0.7382937039053797,10.637164357783808,4.107440555858069,9.512091013303898,4.306153211940373,10.671960440602774,4.101294803608102,-1.1598694272988759,0.20485840833227087,-1.1285424820612668,0.19865386663598983,0.0,0.19865386663598983,0.4793780305428745,0.14666489899381027,0.002543063722615344
